"ts","symbol","open","high","low","close","volume"
"2024-01-01T00:00:00.000Z","BTC","42314","42335.8","42289.6","42331.9","289.641"
"2024-01-01T00:01:00.000Z","BTC","42331.9","42353.1","42331.8","42350.4","202.444"
"2024-01-01T00:02:00.000Z","BTC","42350.4","42370.8","42349.6","42360.2","271.521"
"2024-01-01T00:03:00.000Z","BTC","42360.1","42405.8","42360.1","42405.8","392.238"
"2024-01-01T00:04:00.000Z","BTC","42405.7","42437.2","42405.7","42437.1","568.366"
"2024-01-01T00:05:00.000Z","BTC","42437.2","42447.6","42420.5","42444.9","321.122"
"2024-01-01T00:06:00.000Z","BTC","42445","42470","42439","42468.2","251.858"
"2024-01-01T00:07:00.000Z","BTC","42468.3","42474.1","42448","42453.8","206.698"
"2024-01-01T00:08:00.000Z","BTC","42453.8","42459.3","42440.2","42459.3","100.04"
"2024-01-01T00:09:00.000Z","BTC","42459.3","42460.5","42436.1","42446.8","114.285"
"2024-01-01T00:10:00.000Z","BTC","42446.8","42479.2","42445.2","42476.9","153.044"
"2024-01-01T00:11:00.000Z","BTC","42476.9","42520.9","42476.8","42515.4","272.666"
"2024-01-01T00:12:00.000Z","BTC","42515.4","42515.5","42497","42497.1","183.61"
"2024-01-01T00:13:00.000Z","BTC","42497.1","42522.2","42495","42519.2","152.033"
"2024-01-01T00:14:00.000Z","BTC","42519.2","42535","42502.6","42532.5","138.422"
"2024-01-01T00:15:00.000Z","BTC","42532.4","42558","42519.7","42549.1","355.086"
"2024-01-01T00:16:00.000Z","BTC","42549.3","42603.2","42549.3","42580.5","350.894"
"2024-01-01T00:17:00.000Z","BTC","42580.6","42580.6","42541.7","42542.2","215.976"
"2024-01-01T00:18:00.000Z","BTC","42542.2","42542.3","42503.5","42514.5","228.238"
"2024-01-01T00:19:00.000Z","BTC","42514.5","42516.4","42494.1","42494.1","141.038"
"2024-01-01T00:20:00.000Z","BTC","42494.1","42506","42491.1","42498.7","77.409"
"2024-01-01T00:21:00.000Z","BTC","42498.8","42498.9","42484.4","42486.4","105.509"
"2024-01-01T00:22:00.000Z","BTC","42486.3","42503","42486.3","42500.6","91.012"
"2024-01-01T00:23:00.000Z","BTC","42500.5","42514.4","42500.3","42503.9","65.579"
"2024-01-01T00:24:00.000Z","BTC","42504","42533.1","42503.9","42509.4","78.954"
"2024-01-01T00:25:00.000Z","BTC","42509.4","42542.3","42500","42542.3","102.642"
"2024-01-01T00:26:00.000Z","BTC","42542.2","42542.3","42500","42500","83.171"
"2024-01-01T00:27:00.000Z","BTC","42500","42513","42467","42471.7","194.193"
"2024-01-01T00:28:00.000Z","BTC","42471.8","42477.5","42452.9","42457.7","131.748"
"2024-01-01T00:29:00.000Z","BTC","42457.7","42462.9","42449.1","42458.5","100.579"
"2024-01-01T00:30:00.000Z","BTC","42458.4","42458.4","42428.5","42428.5","118.719"
"2024-01-01T00:31:00.000Z","BTC","42428.4","42428.4","42411.4","42420.3","188.465"
"2024-01-01T00:32:00.000Z","BTC","42420.3","42439","42405","42405","106.331"
"2024-01-01T00:33:00.000Z","BTC","42405.1","42412.3","42402.5","42411.4","111.2"
"2024-01-01T00:34:00.000Z","BTC","42411.4","42411.4","42386.4","42399.6","182.311"
"2024-01-01T00:35:00.000Z","BTC","42399.6","42399.6","42386.2","42396","87.415"
"2024-01-01T00:36:00.000Z","BTC","42396.1","42419.2","42389.2","42414","196.2"
"2024-01-01T00:37:00.000Z","BTC","42414","42450","42411","42447","118.717"
"2024-01-01T00:38:00.000Z","BTC","42447","42453.3","42436.3","42438.5","63.841"
"2024-01-01T00:39:00.000Z","BTC","42438.6","42481.9","42438.5","42481.9","132.286"
"2024-01-01T00:40:00.000Z","BTC","42481.9","42485.7","42470.7","42480.1","129.405"
"2024-01-01T00:41:00.000Z","BTC","42480.2","42480.2","42456.5","42460.8","34.156"
"2024-01-01T00:42:00.000Z","BTC","42460.8","42463","42447.6","42463","29.566"
"2024-01-01T00:43:00.000Z","BTC","42463","42468.1","42451.5","42451.5","80.265"
"2024-01-01T00:44:00.000Z","BTC","42451.5","42476.4","42437.9","42474.5","105.34"
"2024-01-01T00:45:00.000Z","BTC","42474.5","42494.8","42474.5","42494.8","85.954"
"2024-01-01T00:46:00.000Z","BTC","42494.7","42498.6","42491.3","42492.7","50.444"
"2024-01-01T00:47:00.000Z","BTC","42492.6","42492.6","42475.3","42475.3","54.219"
"2024-01-01T00:48:00.000Z","BTC","42475.4","42476.4","42463.7","42463.7","54.122"
"2024-01-01T00:49:00.000Z","BTC","42463.5","42463.5","42449.1","42452.6","37.395"
"2024-01-01T00:50:00.000Z","BTC","42452.6","42473.4","42451.1","42473.3","24.752"
"2024-01-01T00:51:00.000Z","BTC","42473.4","42476","42466.8","42472.1","40.76"
"2024-01-01T00:52:00.000Z","BTC","42472.1","42476","42472","42475.9","28.469"
"2024-01-01T00:53:00.000Z","BTC","42475.9","42476.9","42471.7","42476.7","35.603"
"2024-01-01T00:54:00.000Z","BTC","42476.8","42494.9","42476.7","42494.9","27.995"
"2024-01-01T00:55:00.000Z","BTC","42494.9","42499","42485.7","42498.9","45.79"
"2024-01-01T00:56:00.000Z","BTC","42499","42519.4","42498.9","42514.4","101.611"
"2024-01-01T00:57:00.000Z","BTC","42514.3","42527.2","42509.6","42527.2","81.701"
"2024-01-01T00:58:00.000Z","BTC","42527.1","42527.1","42509.4","42520.7","98.775"
"2024-01-01T00:59:00.000Z","BTC","42520.7","42520.8","42503.5","42503.5","67.654"
"2024-01-01T01:00:00.000Z","BTC","42503.5","42503.6","42484.6","42484.7","107.554"
"2024-01-01T01:01:00.000Z","BTC","42484.6","42484.7","42475.4","42475.5","48.55"
"2024-01-01T01:02:00.000Z","BTC","42475.5","42494.1","42467.4","42494","118.094"
"2024-01-01T01:03:00.000Z","BTC","42494.1","42500.5","42469.2","42475.5","83.397"
"2024-01-01T01:04:00.000Z","BTC","42475.6","42475.6","42464.8","42464.8","26.346"
"2024-01-01T01:05:00.000Z","BTC","42464.8","42475.5","42462","42475.5","42.972"
"2024-01-01T01:06:00.000Z","BTC","42475.5","42491.2","42466.8","42491.2","45.8"
"2024-01-01T01:07:00.000Z","BTC","42491.2","42491.2","42475.8","42485.6","55.211"
"2024-01-01T01:08:00.000Z","BTC","42485.7","42485.7","42478.3","42480.7","20.513"
"2024-01-01T01:09:00.000Z","BTC","42480.7","42480.7","42467.5","42472.5","56.528"
"2024-01-01T01:10:00.000Z","BTC","42472.4","42493.6","42472.4","42477.5","117.072"
"2024-01-01T01:11:00.000Z","BTC","42477.4","42481.5","42477.4","42477.4","18.709"
"2024-01-01T01:12:00.000Z","BTC","42477.4","42487.3","42473.9","42487.3","25.669"
"2024-01-01T01:13:00.000Z","BTC","42487.3","42510.4","42487.2","42510.4","38.041"
"2024-01-01T01:14:00.000Z","BTC","42510.4","42510.4","42497.5","42497.6","45.818"
"2024-01-01T01:15:00.000Z","BTC","42497.6","42513.9","42497.5","42513.9","54.282"
"2024-01-01T01:16:00.000Z","BTC","42514.4","42530","42514.3","42529.9","60.706"
"2024-01-01T01:17:00.000Z","BTC","42530","42530","42525.1","42529.3","25.676"
"2024-01-01T01:18:00.000Z","BTC","42529.2","42533.3","42520.6","42520.7","32.073"
"2024-01-01T01:19:00.000Z","BTC","42520.7","42533.7","42510.3","42532.6","82.716"
"2024-01-01T01:20:00.000Z","BTC","42532.6","42538.9","42532.5","42535.3","55.925"
"2024-01-01T01:21:00.000Z","BTC","42535.3","42554.9","42535.3","42538","127.896"
"2024-01-01T01:22:00.000Z","BTC","42538","42540.1","42532.1","42532.2","25.198"
"2024-01-01T01:23:00.000Z","BTC","42532.1","42532.2","42520","42520","31.667"
"2024-01-01T01:24:00.000Z","BTC","42520","42520.1","42509.3","42511.4","76.39"
"2024-01-01T01:25:00.000Z","BTC","42510.9","42523","42510.9","42519.1","35.508"
"2024-01-01T01:26:00.000Z","BTC","42519.1","42544.9","42502.7","42544.8","129.825"
"2024-01-01T01:27:00.000Z","BTC","42544.8","42546.1","42540","42546.1","22.39"
"2024-01-01T01:28:00.000Z","BTC","42546.1","42546.1","42534","42534","29.69"
"2024-01-01T01:29:00.000Z","BTC","42534","42534.1","42524.8","42524.8","36.478"
"2024-01-01T01:30:00.000Z","BTC","42524.9","42539.1","42524.8","42534.7","37.67"
"2024-01-01T01:31:00.000Z","BTC","42534.7","42555","42534.6","42555","76.454"
"2024-01-01T01:32:00.000Z","BTC","42555","42591.7","42554.9","42587.3","198.388"
"2024-01-01T01:33:00.000Z","BTC","42587.3","42608.6","42587.2","42604.4","197.197"
"2024-01-01T01:34:00.000Z","BTC","42604.3","42616.1","42594.1","42598.2","166.229"
"2024-01-01T01:35:00.000Z","BTC","42598.3","42659.4","42598.2","42649.1","362.529"
