ts,symbol,open,high,low,close,volume
2026-04-06T17:08:00.000Z,CL,112.84,112.85,112.65,112.8,232
2026-04-06T17:08:00.000Z,ES,6635,6638.25,6635,6636.75,1102
2026-04-06T17:08:00.000Z,GC,4684.6,4685.7,4684.2,4685.2,30
2026-04-06T17:08:00.000Z,NQ,24274,24288.5,24273.5,24281.25,477
2026-04-06T17:09:00.000Z,CL,112.77,112.96,112.72,112.96,101
2026-04-06T17:09:00.000Z,ES,6636.75,6638.5,6635,6636.25,1980
2026-04-06T17:09:00.000Z,GC,4684.7,4685.1,4683.5,4683.8,41
2026-04-06T17:09:00.000Z,NQ,24281.75,24290.5,24272,24278.75,603
2026-04-06T17:10:00.000Z,CL,112.94,113.42,112.93,113.26,825
2026-04-06T17:10:00.000Z,ES,6636.25,6636.5,6630,6633,2958
2026-04-06T17:10:00.000Z,GC,4683.8,4685.6,4680.9,4682.3,63
2026-04-06T17:10:00.000Z,NQ,24279.25,24281.25,24253,24264.75,944
2026-04-06T17:11:00.000Z,CL,113.26,113.43,113.24,113.39,310
2026-04-06T17:11:00.000Z,ES,6633,6634,6631,6632.5,1878
2026-04-06T17:11:00.000Z,GC,4682,4684,4681.7,4684,40
2026-04-06T17:11:00.000Z,NQ,24265,24268.75,24257,24262.5,737
2026-04-06T17:12:00.000Z,CL,113.39,113.82,113.35,113.74,724
2026-04-06T17:12:00.000Z,ES,6632.5,6633.5,6623.75,6624.25,4290
2026-04-06T17:12:00.000Z,GC,4683.1,4684.2,4676.1,4676.5,125
2026-04-06T17:12:00.000Z,NQ,24262.5,24265.75,24222.5,24224,1832
2026-04-06T17:13:00.000Z,CL,113.75,113.86,113.54,113.61,610
2026-04-06T17:13:00.000Z,ES,6624.25,6627,6619,6620.25,4970
2026-04-06T17:13:00.000Z,GC,4677.3,4681.8,4675.3,4676.7,172
2026-04-06T17:13:00.000Z,NQ,24224.25,24238.75,24205,24208.75,1789
2026-04-06T17:14:00.000Z,CL,113.6,113.73,113.56,113.61,272
2026-04-06T17:14:00.000Z,ES,6620.25,6625.5,6618.75,6624.25,3343
2026-04-06T17:14:00.000Z,GC,4676.9,4681.8,4671.4,4679,354
2026-04-06T17:14:00.000Z,NQ,24207.75,24233.5,24202.75,24227,1038
2026-04-06T17:15:00.000Z,CL,113.66,113.85,113.58,113.82,262
2026-04-06T17:15:00.000Z,ES,6624.25,6627,6622,6623.25,2642
2026-04-06T17:15:00.000Z,GC,4679,4680.3,4676.5,4678.1,101
2026-04-06T17:15:00.000Z,NQ,24226.5,24240.25,24217.25,24221,911
2026-04-06T17:16:00.000Z,CL,113.84,113.89,113.72,113.8,306
2026-04-06T17:16:00.000Z,ES,6623,6626.25,6622.75,6625.75,2144
2026-04-06T17:16:00.000Z,GC,4678.5,4680.6,4676,4679.1,117
2026-04-06T17:16:00.000Z,NQ,24222,24236.25,24219.5,24232.75,621
2026-04-06T17:17:00.000Z,CL,113.77,113.78,113.6,113.74,343
2026-04-06T17:17:00.000Z,ES,6625.75,6631,6625.5,6627,2480
2026-04-06T17:17:00.000Z,GC,4679.4,4684.8,4679.4,4682.2,92
2026-04-06T17:17:00.000Z,NQ,24233.5,24258.75,24232.5,24240.75,825
2026-04-06T17:18:00.000Z,CL,113.73,113.83,113.65,113.75,188
2026-04-06T17:18:00.000Z,ES,6626.75,6627.25,6623,6626.25,1705
2026-04-06T17:18:00.000Z,GC,4682.1,4684.3,4681.2,4682.7,44
2026-04-06T17:18:00.000Z,NQ,24241,24242,24227.5,24239.25,625
2026-04-06T17:19:00.000Z,CL,113.75,113.81,113.66,113.67,131
2026-04-06T17:19:00.000Z,ES,6626,6629.5,6625.75,6628.25,1569
2026-04-06T17:19:00.000Z,GC,4683.4,4686.3,4683.2,4686.1,87
2026-04-06T17:19:00.000Z,NQ,24239,24253,24235.75,24250,520
2026-04-06T17:20:00.000Z,CL,113.69,114,113.69,113.95,277
2026-04-06T17:20:00.000Z,ES,6628.25,6628.25,6624.25,6624.75,1534
2026-04-06T17:20:00.000Z,GC,4685.9,4686.7,4684,4684.4,68
2026-04-06T17:20:00.000Z,NQ,24250.25,24250.25,24231.25,24232,440
2026-04-06T17:21:00.000Z,CL,113.94,113.98,113.7,113.75,185
2026-04-06T17:21:00.000Z,ES,6624.5,6628.75,6623.75,6628,1671
2026-04-06T17:21:00.000Z,GC,4684.7,4686.4,4684.2,4686.2,69
2026-04-06T17:21:00.000Z,NQ,24232.25,24252.75,24230.5,24249.75,577
2026-04-06T17:22:00.000Z,CL,113.76,113.77,113.43,113.45,350
2026-04-06T17:22:00.000Z,ES,6627.75,6632.5,6626.75,6631.25,1839
2026-04-06T17:22:00.000Z,GC,4685.8,4686.9,4684.4,4685.9,125
2026-04-06T17:22:00.000Z,NQ,24249,24274,24244,24269.5,742
2026-04-06T17:23:00.000Z,CL,113.45,113.56,113.31,113.44,228
2026-04-06T17:23:00.000Z,ES,6631,6635,6630.5,6633.25,2375
2026-04-06T17:23:00.000Z,GC,4685.2,4687.2,4685,4685.9,92
2026-04-06T17:23:00.000Z,NQ,24269,24286.25,24267,24278.25,837
2026-04-06T17:24:00.000Z,CL,113.42,113.45,113.27,113.3,200
2026-04-06T17:24:00.000Z,ES,6633.25,6636.5,6633,6636.25,1414
2026-04-06T17:24:00.000Z,GC,4686.1,4687.3,4685.3,4686.6,109
2026-04-06T17:24:00.000Z,NQ,24278.5,24292.5,24276.5,24290.75,520
2026-04-06T17:25:00.000Z,CL,113.3,113.51,113.25,113.35,294
2026-04-06T17:25:00.000Z,ES,6636,6637.5,6634,6636.5,2117
2026-04-06T17:25:00.000Z,GC,4686.4,4687,4684.5,4686.5,53
2026-04-06T17:25:00.000Z,NQ,24291,24298.25,24282.75,24297.75,699
2026-04-06T17:26:00.000Z,CL,113.36,113.4,113.25,113.4,143
2026-04-06T17:26:00.000Z,ES,6636.25,6636.5,6633.25,6634.5,1128
2026-04-06T17:26:00.000Z,GC,4686.3,4687.4,4685.5,4687,78
2026-04-06T17:26:00.000Z,NQ,24296.75,24298.5,24283.75,24291,493
2026-04-06T17:27:00.000Z,CL,113.4,113.41,113.08,113.14,237
2026-04-06T17:27:00.000Z,ES,6634.5,6638.5,6634,6636.5,1711
2026-04-06T17:27:00.000Z,GC,4687.2,4687.7,4686,4686.5,115
2026-04-06T17:27:00.000Z,NQ,24290.75,24308.5,24288.25,24302.25,707
2026-04-06T17:28:00.000Z,CL,113.16,113.16,112.87,112.93,378
2026-04-06T17:28:00.000Z,ES,6636.5,6638.25,6635.5,6638,950
2026-04-06T17:28:00.000Z,GC,4686.3,4687.6,4686.1,4686.6,69
2026-04-06T17:28:00.000Z,NQ,24302,24308,24295.75,24307.25,486
2026-04-06T17:29:00.000Z,CL,112.97,113.04,112.89,112.92,204
2026-04-06T17:29:00.000Z,ES,6637.75,6639.25,6637.25,6637.75,1497
2026-04-06T17:29:00.000Z,GC,4686.7,4688.1,4682.1,4683.1,568
2026-04-06T17:29:00.000Z,NQ,24306.5,24312.5,24304,24305.75,601
2026-04-06T17:30:00.000Z,CL,112.89,113.21,112.83,113.12,225
2026-04-06T17:30:00.000Z,ES,6637.75,6638,6635.25,6636.5,1573
2026-04-06T17:30:00.000Z,GC,4683.2,4684.8,4679.6,4680.2,139
2026-04-06T17:30:00.000Z,NQ,24305.75,24307.25,24297.25,24302.75,480
2026-04-06T17:31:00.000Z,CL,113.14,113.16,113.02,113.08,104
2026-04-06T17:31:00.000Z,ES,6636.25,6640.75,6636,6640.25,1458
2026-04-06T17:31:00.000Z,GC,4681,4684.6,4680.5,4683.3,107
2026-04-06T17:31:00.000Z,NQ,24302.5,24322.5,24300.5,24318,676
2026-04-06T17:32:00.000Z,CL,113.07,113.14,112.93,113.06,152
2026-04-06T17:32:00.000Z,ES,6640,6641.25,6638.5,6638.75,1138
2026-04-06T17:32:00.000Z,GC,4683.8,4685.2,4683.8,4684.8,45
2026-04-06T17:32:00.000Z,NQ,24318.5,24322,24310.25,24312.5,508
2026-04-06T17:33:00.000Z,CL,113.05,113.27,113.05,113.22,153
2026-04-06T17:33:00.000Z,ES,6638.5,6638.5,6636.5,6638.5,1076
2026-04-06T17:33:00.000Z,GC,4684.9,4687,4684.4,4686.3,47
2026-04-06T17:33:00.000Z,NQ,24312.75,24313.5,24304.5,24312,428
2026-04-06T17:34:00.000Z,CL,113.2,113.4,112.75,113.2,919
2026-04-06T17:34:00.000Z,ES,6638.25,6644,6635.75,6637.75,3853
2026-04-06T17:34:00.000Z,GC,4687,4688.6,4685.8,4686.5,202
2026-04-06T17:34:00.000Z,NQ,24311.5,24334.25,24301,24309.25,1390
2026-04-06T17:35:00.000Z,CL,113.2,113.45,113.12,113.45,325
2026-04-06T17:35:00.000Z,ES,6637.5,6639.5,6637.25,6638.5,1498
2026-04-06T17:35:00.000Z,GC,4686.3,4687.5,4686.2,4686.6,55
2026-04-06T17:35:00.000Z,NQ,24309,24315.75,24308,24311.25,541
2026-04-06T17:36:00.000Z,CL,113.42,113.5,113.34,113.4,151
2026-04-06T17:36:00.000Z,ES,6638.5,6640.75,6638,6640.5,733
2026-04-06T17:36:00.000Z,GC,4686.2,4687.4,4686,4687.4,41
2026-04-06T17:36:00.000Z,NQ,24311.75,24321,24310.25,24320.75,433
2026-04-06T17:37:00.000Z,CL,113.42,113.59,113.37,113.56,219
2026-04-06T17:37:00.000Z,ES,6640.5,6640.5,6636.25,6636.75,1431
2026-04-06T17:37:00.000Z,GC,4687.1,4687.3,4686.4,4686.7,50
2026-04-06T17:37:00.000Z,NQ,24320,24321,24302.25,24303,507
2026-04-06T17:38:00.000Z,CL,113.56,113.72,113.55,113.6,156
2026-04-06T17:38:00.000Z,ES,6636.75,6636.75,6634.5,6636,1577
2026-04-06T17:38:00.000Z,GC,4686.4,4687,4685.6,4686.5,39
2026-04-06T17:38:00.000Z,NQ,24304.25,24306,24294.5,24304.5,786
2026-04-06T17:39:00.000Z,CL,113.68,113.77,113.57,113.74,181
2026-04-06T17:39:00.000Z,ES,6636,6637,6634,6635.75,995
2026-04-06T17:39:00.000Z,GC,4687.1,4687.5,4686.2,4687.2,36
2026-04-06T17:39:00.000Z,NQ,24304.25,24308.75,24293.75,24298.25,527
2026-04-06T17:40:00.000Z,CL,113.75,113.91,113.7,113.82,228
2026-04-06T17:40:00.000Z,ES,6635.5,6636,6634,6635.25,789
2026-04-06T17:40:00.000Z,GC,4687.3,4687.4,4685.5,4685.7,42
2026-04-06T17:40:00.000Z,NQ,24299.5,24301,24291,24295.75,487
2026-04-06T17:41:00.000Z,CL,113.84,114.22,113.84,114.19,668
2026-04-06T17:41:00.000Z,ES,6635,6635,6632.25,6633.25,1291
2026-04-06T17:41:00.000Z,GC,4685.8,4685.8,4682.8,4683.2,74
2026-04-06T17:41:00.000Z,NQ,24294.5,24296.5,24282,24286.5,640
2026-04-06T17:42:00.000Z,CL,114.17,114.28,114.12,114.12,247
2026-04-06T17:42:00.000Z,ES,6633.5,6634,6632.25,6632.75,878
2026-04-06T17:42:00.000Z,GC,4683.7,4683.7,4682,4683.4,46
2026-04-06T17:42:00.000Z,NQ,24287.5,24289.75,24282.75,24285,333
2026-04-06T17:43:00.000Z,CL,114.12,114.28,114.11,114.22,251
2026-04-06T17:43:00.000Z,ES,6632.75,6633.75,6631.5,6633.5,1002
2026-04-06T17:43:00.000Z,GC,4684.2,4684.5,4681.9,4683.1,37
2026-04-06T17:43:00.000Z,NQ,24285.5,24291.25,24279.25,24289.75,446
2026-04-06T17:44:00.000Z,CL,114.25,114.26,113.95,113.98,220
2026-04-06T17:44:00.000Z,ES,6633.5,6635.5,6632.5,6635,1044
2026-04-06T17:44:00.000Z,GC,4682.7,4684.2,4682,4683.6,39
2026-04-06T17:44:00.000Z,NQ,24289.5,24296.75,24285.75,24292.75,534
2026-04-06T17:45:00.000Z,CL,114,114.06,113.81,113.88,302
2026-04-06T17:45:00.000Z,ES,6635,6635,6632.5,6632.75,712
2026-04-06T17:45:00.000Z,GC,4683.5,4684.3,4683,4683,24
2026-04-06T17:45:00.000Z,NQ,24291.5,24292.5,24283,24285.25,362
