strategy,timeframe,range_window,vol_threshold,exit_offset,trades,filtered,wins,losses,wr,total_r,pnl
wq-vol-regime,60m,,,,128,70,74,-4,57.8,119.82,142999.0
wq-vol-regime,60m,,,,170,89,95,-6,55.9,109.24,97400.0
wq-vol-regime,60m,,,,13,8,8,0,61.5,44.27,63097.0
wq-vol-regime,60m,,,,39,23,28,-5,71.8,80.61,66466.0
wq-vol-regime,60m,,,,90,49,57,-8,63.3,122.53,135846.0
wq-vol-regime,60m,,,,118,64,72,-8,61.0,126.16,143140.0
wq-vol-regime,60m,,,,160,83,93,-10,58.1,115.59,99264.0
wq-vol-regime,60m,,,,12,7,8,-1,66.7,45.02,70087.0
wq-vol-regime,60m,,,,38,22,28,-6,73.7,81.36,68884.0
wq-vol-regime,60m,,,,89,48,57,-9,64.0,123.28,138423.0
wq-vol-regime,60m,,,,117,63,72,-9,61.5,126.91,145395.0
wq-vol-regime,60m,,,,159,82,93,-11,58.5,116.34,100997.0
wq-vol-regime,60m,,,,95,51,31,20,32.6,12.07,-7206.0
wq-vol-regime,60m,,,,115,64,45,19,39.1,57.41,32989.0
wq-vol-regime,60m,,,,165,90,78,12,47.3,99.44,98758.0
wq-vol-regime,60m,,,,199,107,97,10,48.7,105.18,90086.0
wq-vol-regime,60m,,,,247,129,122,7,49.4,104.87,90558.0
wq-vol-regime,60m,,,,67,37,26,11,38.8,27.91,10924.0
wq-vol-regime,60m,,,,87,50,40,10,46.0,73.24,52900.0
wq-vol-regime,60m,,,,137,76,73,3,53.3,115.27,118889.0
wq-vol-regime,60m,,,,171,93,92,1,53.8,121.01,109551.0
wq-vol-regime,60m,,,,219,115,117,-2,53.4,120.7,109684.0
wq-vol-regime,60m,,,,50,28,22,6,44.0,34.53,19361.0
wq-vol-regime,60m,,,,70,41,36,5,51.4,79.86,63408.0
wq-vol-regime,60m,,,,120,67,69,-2,57.5,121.89,129758.0
wq-vol-regime,60m,,,,154,84,88,-4,57.1,127.63,119587.0
wq-vol-regime,60m,,,,202,106,113,-7,55.9,127.32,119294.0
wq-vol-regime,60m,,,,26,16,14,2,53.8,44.49,38846.0
wq-vol-regime,60m,,,,46,29,28,1,60.9,89.82,88746.0
wq-vol-regime,60m,,,,96,55,61,-6,63.5,131.85,154467.0
wq-vol-regime,60m,,,,130,72,80,-8,61.5,137.6,140863.0
wq-vol-regime,60m,,,,178,94,105,-11,59.0,137.28,138709.0
wq-vol-regime,60m,,,,15,9,10,-1,66.7,44.84,44612.0
wq-vol-regime,60m,,,,35,22,24,-2,68.6,90.17,95418.0
wq-vol-regime,60m,,,,85,48,57,-9,67.1,132.2,158570.0
wq-vol-regime,60m,,,,119,65,76,-11,63.9,137.94,142595.0
wq-vol-regime,60m,,,,167,87,101,-14,60.5,137.63,139299.0
wq-vol-regime,60m,,,,10,6,8,-2,80.0,41.37,39174.0
wq-vol-regime,60m,,,,30,19,22,-3,73.3,86.7,90253.0
wq-vol-regime,60m,,,,80,45,55,-10,68.8,128.73,152797.0
wq-vol-regime,60m,,,,114,62,74,-12,64.9,134.48,137487.0
wq-vol-regime,60m,,,,162,84,99,-15,61.1,134.16,134703.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,1,1,1,0,100.0,6.91,44348.0
wq-vol-regime,60m,,,,17,10,14,-4,82.4,63.87,125195.0
wq-vol-regime,60m,,,,61,33,41,-8,67.2,122.99,202539.0
wq-vol-regime,60m,,,,113,61,74,-13,65.5,136.74,190524.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,1,1,1,0,100.0,6.91,44348.0
wq-vol-regime,60m,,,,17,10,14,-4,82.4,63.87,125195.0
wq-vol-regime,60m,,,,61,33,41,-8,67.2,122.99,202539.0
wq-vol-regime,60m,,,,113,61,74,-13,65.5,136.74,190524.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,1,1,1,0,100.0,6.91,44348.0
wq-vol-regime,60m,,,,17,10,14,-4,82.4,63.87,125195.0
wq-vol-regime,60m,,,,61,33,41,-8,67.2,122.99,202539.0
wq-vol-regime,60m,,,,113,61,74,-13,65.5,136.74,190524.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,1,1,1,0,100.0,6.91,44348.0
wq-vol-regime,60m,,,,17,10,14,-4,82.4,63.87,125195.0
wq-vol-regime,60m,,,,61,33,41,-8,67.2,122.99,202539.0
wq-vol-regime,60m,,,,113,61,74,-13,65.5,136.74,190524.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,1,1,1,0,100.0,6.91,44348.0
wq-vol-regime,60m,,,,17,10,14,-4,82.4,63.87,125195.0
wq-vol-regime,60m,,,,61,33,41,-8,67.2,122.99,202539.0
wq-vol-regime,60m,,,,113,61,74,-13,65.5,136.74,190524.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,1,1,1,0,100.0,6.91,44348.0
wq-vol-regime,60m,,,,17,10,14,-4,82.4,63.87,125195.0
wq-vol-regime,60m,,,,61,33,41,-8,67.2,122.99,202539.0
wq-vol-regime,60m,,,,113,61,74,-13,65.5,136.74,190524.0
wq-vol-regime,60m,,,,31,16,13,3,41.9,3.6,3728.0
wq-vol-regime,60m,,,,36,19,17,2,47.2,24.6,39627.0
wq-vol-regime,60m,,,,61,32,33,-1,54.1,50.03,54554.0
wq-vol-regime,60m,,,,115,62,70,-8,60.9,124.5,198522.0
wq-vol-regime,60m,,,,164,87,102,-15,62.2,163.54,177918.0
wq-vol-regime,60m,,,,8,5,3,2,37.5,-1.74,-1185.0
wq-vol-regime,60m,,,,13,8,7,1,53.8,19.27,46833.0
wq-vol-regime,60m,,,,38,21,23,-2,60.5,44.69,55294.0
wq-vol-regime,60m,,,,92,51,60,-9,65.2,119.16,206681.0
wq-vol-regime,60m,,,,141,76,92,-16,65.2,158.21,179048.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,5,3,4,-1,80.0,21.0,74807.0
wq-vol-regime,60m,,,,30,16,20,-4,66.7,46.43,58980.0
wq-vol-regime,60m,,,,84,46,57,-11,67.9,120.9,213061.0
wq-vol-regime,60m,,,,133,71,89,-18,66.9,159.94,181599.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,5,3,4,-1,80.0,21.0,74807.0
wq-vol-regime,60m,,,,30,16,20,-4,66.7,46.43,58980.0
wq-vol-regime,60m,,,,84,46,57,-11,67.9,120.9,213061.0
wq-vol-regime,60m,,,,133,71,89,-18,66.9,159.94,181599.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,5,3,4,-1,80.0,21.0,74807.0
wq-vol-regime,60m,,,,30,16,20,-4,66.7,46.43,58980.0
wq-vol-regime,60m,,,,84,46,57,-11,67.9,120.9,213061.0
wq-vol-regime,60m,,,,133,71,89,-18,66.9,159.94,181599.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,5,3,4,-1,80.0,21.0,74807.0
wq-vol-regime,60m,,,,30,16,20,-4,66.7,46.43,58980.0
wq-vol-regime,60m,,,,84,46,57,-11,67.9,120.9,213061.0
wq-vol-regime,60m,,,,133,71,89,-18,66.9,159.94,181599.0
wq-vol-regime,60m,,,,33,20,14,6,42.4,11.59,18862.0
wq-vol-regime,60m,,,,40,24,20,4,50.0,31.94,19823.0
wq-vol-regime,60m,,,,61,36,29,7,47.5,34.33,53798.0
wq-vol-regime,60m,,,,102,57,58,-1,56.9,83.06,113139.0
wq-vol-regime,60m,,,,161,89,95,-6,59.0,117.43,116285.0
wq-vol-regime,60m,,,,6,3,4,-1,66.7,18.95,60289.0
wq-vol-regime,60m,,,,13,7,10,-3,76.9,39.3,37408.0
wq-vol-regime,60m,,,,34,19,19,0,55.9,41.69,77917.0
wq-vol-regime,60m,,,,75,40,48,-8,64.0,90.42,135952.0
wq-vol-regime,60m,,,,134,72,85,-13,63.4,124.79,131786.0
wq-vol-regime,60m,,,,4,2,3,-1,75.0,19.0,88877.0
wq-vol-regime,60m,,,,11,6,9,-3,81.8,39.35,43050.0
wq-vol-regime,60m,,,,32,18,18,0,56.2,41.73,81808.0
wq-vol-regime,60m,,,,73,39,47,-8,64.4,90.46,139052.0
wq-vol-regime,60m,,,,132,71,84,-13,63.6,124.84,133372.0
wq-vol-regime,60m,,,,4,2,3,-1,75.0,19.0,88877.0
wq-vol-regime,60m,,,,11,6,9,-3,81.8,39.35,43050.0
wq-vol-regime,60m,,,,32,18,18,0,56.2,41.73,81808.0
wq-vol-regime,60m,,,,73,39,47,-8,64.4,90.46,139052.0
wq-vol-regime,60m,,,,132,71,84,-13,63.6,124.84,133372.0
wq-vol-regime,60m,,,,4,2,3,-1,75.0,19.0,88877.0
wq-vol-regime,60m,,,,11,6,9,-3,81.8,39.35,43050.0
wq-vol-regime,60m,,,,32,18,18,0,56.2,41.73,81808.0
wq-vol-regime,60m,,,,73,39,47,-8,64.4,90.46,139052.0
wq-vol-regime,60m,,,,132,71,84,-13,63.6,124.84,133372.0
wq-vol-regime,60m,,,,4,2,3,-1,75.0,19.0,88877.0
wq-vol-regime,60m,,,,11,6,9,-3,81.8,39.35,43050.0
wq-vol-regime,60m,,,,32,18,18,0,56.2,41.73,81808.0
wq-vol-regime,60m,,,,73,39,47,-8,64.4,90.46,139052.0
wq-vol-regime,60m,,,,132,71,84,-13,63.6,124.84,133372.0
wq-vol-regime,60m,,,,56,30,23,7,41.1,16.85,23661.0
wq-vol-regime,60m,,,,62,33,28,5,45.2,31.42,28894.0
wq-vol-regime,60m,,,,89,48,42,6,47.2,47.46,33912.0
wq-vol-regime,60m,,,,136,74,77,-3,56.6,110.23,143133.0
wq-vol-regime,60m,,,,184,97,105,-8,57.1,124.12,145839.0
wq-vol-regime,60m,,,,23,13,10,3,43.5,20.14,44084.0
wq-vol-regime,60m,,,,29,16,15,1,51.7,34.71,49272.0
wq-vol-regime,60m,,,,56,31,29,2,51.8,50.75,47386.0
wq-vol-regime,60m,,,,103,57,64,-7,62.1,113.51,172649.0
wq-vol-regime,60m,,,,151,80,92,-12,60.9,127.41,167314.0
wq-vol-regime,60m,,,,4,2,3,-1,75.0,19.0,88877.0
wq-vol-regime,60m,,,,10,5,8,-3,80.0,33.57,63856.0
wq-vol-regime,60m,,,,37,20,22,-2,59.5,49.6,45986.0
wq-vol-regime,60m,,,,84,46,57,-11,67.9,112.37,173133.0
wq-vol-regime,60m,,,,132,69,85,-16,64.4,126.27,164683.0
wq-vol-regime,60m,,,,4,2,3,-1,75.0,19.0,88877.0
wq-vol-regime,60m,,,,10,5,8,-3,80.0,33.57,63856.0
wq-vol-regime,60m,,,,37,20,22,-2,59.5,49.6,45986.0
wq-vol-regime,60m,,,,84,46,57,-11,67.9,112.37,173133.0
wq-vol-regime,60m,,,,132,69,85,-16,64.4,126.27,164683.0
wq-vol-regime,60m,,,,4,2,3,-1,75.0,19.0,88877.0
wq-vol-regime,60m,,,,10,5,8,-3,80.0,33.57,63856.0
wq-vol-regime,60m,,,,37,20,22,-2,59.5,49.6,45986.0
wq-vol-regime,60m,,,,84,46,57,-11,67.9,112.37,173133.0
wq-vol-regime,60m,,,,132,69,85,-16,64.4,126.27,164683.0
wq-vol-regime,60m,,,,4,2,3,-1,75.0,19.0,88877.0
wq-vol-regime,60m,,,,10,5,8,-3,80.0,33.57,63856.0
wq-vol-regime,60m,,,,37,20,22,-2,59.5,49.6,45986.0
wq-vol-regime,60m,,,,84,46,57,-11,67.9,112.37,173133.0
wq-vol-regime,60m,,,,132,69,85,-16,64.4,126.27,164683.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
